text,label
paneer tikka,snacks
popcorn,snacks
misal pav,breakfast
chili paneer with fried rice,dinner
sandwich and juice,breakfast
garlic bread,snacks
chole rice,lunch
vegetable soup and toast,dinner
vada pav,snacks
chili paneer with fried rice,dinner
moong dal dosa,breakfast
aloo gobi with roti,lunch
milkshake,snacks
boiled eggs,breakfast
aloo gobi with roti,lunch
mutter paneer,lunch
avial with rice,lunch
kadhi chawal,lunch
masala corn,snacks
methi malai matar with naan,dinner
samosa,snacks
moong dal and rice,dinner
sandwich,snacks
popcorn,snacks
kootu curry,lunch
oats with milk,breakfast
dal rice,lunch
green tea,snacks
garlic bread,snacks
chicken curry with rice,dinner
stuffed capsicum and roti,lunch
methi thepla,breakfast
veg handi with naan,dinner
dal makhani with paratha,lunch
stuffed paratha,breakfast
thalipeeth,breakfast
vada pav,snacks
paneer butter masala and naan,lunch
lemonade,snacks
sugarcane juice,snacks
idli,breakfast
chana masala with puri,lunch
uttapam,breakfast
dal rice,lunch
chili paneer with fried rice,dinner
fish curry and chapati,dinner
mushroom do pyaza,dinner
dal tadka and roti,dinner
vada pav,snacks
prawn curry and rice,dinner
kadhi chawal,lunch
thalipeeth,breakfast
sweet lassi,snacks
kootu curry,lunch
veg korma and paratha,lunch
kootu curry,lunch
veg handi with naan,dinner
dal rice,lunch
boiled eggs,breakfast
boiled eggs,breakfast
tandoori roti and sabzi,dinner
tea and biscuits,snacks
popcorn,snacks
kofta curry and naan,lunch
avial with rice,lunch
spaghetti with tomato sauce,dinner
uttapam,breakfast
tea and biscuits,snacks
curd rice,lunch
banana smoothie,breakfast
prawn curry and rice,dinner
moong dal dosa,breakfast
chilli potato,snacks
apple cinnamon porridge,breakfast
methi thepla,breakfast
rava idli,breakfast
stuffed capsicum and roti,lunch
dal tadka and roti,dinner
egg masala curry and roti,dinner
shahi paneer and jeera rice,dinner
grilled chicken,dinner
cornflakes and milk,breakfast
banana smoothie,breakfast
oats with milk,breakfast
prawn curry and rice,dinner
garlic bread,snacks
lassi,snacks
kofta curry and naan,lunch
kofta curry and naan,lunch
apple cinnamon porridge,breakfast
samosa,snacks
popcorn,snacks
methi aloo and roti,lunch
chole rice,lunch
ice cream,snacks
french fries,snacks
nachos with salsa,snacks
samosa,snacks
boiled eggs,breakfast
green tea,snacks
uttapam,breakfast
grilled chicken,dinner
moong dal dosa,breakfast
boiled eggs,breakfast
oats with milk,breakfast
roti sabzi,lunch
dal rice,lunch
sev puri,snacks
curd rice,lunch
chole rice,lunch
chili paneer with fried rice,dinner
fish curry and chapati,dinner
masala oats,breakfast
sandwich and juice,breakfast
masala corn,snacks
oats with milk,breakfast
veg handi with naan,dinner
samosa,snacks
kadhi chawal,lunch
kofta curry and naan,lunch
dal rice,lunch
mutter paneer,lunch
cornflakes and milk,breakfast
sugarcane juice,snacks
methi aloo and roti,lunch
mix veg sabzi and chapati,lunch
prawn curry and rice,dinner
moong dal dosa,breakfast
veg korma and paratha,lunch
popcorn,snacks
nachos with salsa,snacks
mix veg sabzi and chapati,lunch
uttapam,breakfast
lassi,snacks
mix veg sabzi and chapati,lunch
lauki chana dal and roti,dinner
popcorn,snacks
chole rice,lunch
popcorn,snacks
shahi paneer and jeera rice,dinner
palak paneer and jeera rice,lunch
vegetable soup and toast,dinner
shahi paneer and jeera rice,dinner
bisi bele bath,lunch
eggs and toast,breakfast
kadhai paneer and butter naan,dinner
besan chilla,breakfast
kofta curry and naan,lunch
sweet lassi,snacks
shahi paneer and jeera rice,dinner
sugarcane juice,snacks
upma,breakfast
vada pav,snacks
chips and coke,snacks
grilled chicken,dinner
veg kolhapuri and roti,dinner
spring rolls,snacks
bhel puri,snacks
dum aloo and puri,dinner
tea and biscuits,snacks
stuffed capsicum and roti,lunch
corn chaat,snacks
aloo gobi with roti,lunch
mutter paneer,lunch
kadhi chawal,lunch
besan chilla,breakfast
uttapam,breakfast
bhindi masala and paratha,lunch
dal rice,lunch
butter chicken with naan,dinner
vegetable khichdi,lunch
chips and coke,snacks
oats with milk,breakfast
veg kurma and appam,lunch
veg biryani,lunch
cold coffee,snacks
pancakes,breakfast
tea and biscuits,snacks
nachos with salsa,snacks
shahi paneer and jeera rice,dinner
chocolate shake,snacks
sattu paratha and curd,dinner
sandwich and juice,breakfast
garlic bread,snacks
garlic bread,snacks
moong dal dosa,breakfast
egg masala curry and roti,dinner
lemonade,snacks
dal tadka and roti,dinner
sev puri,snacks
moong dal and rice,dinner
dal fry and chapati,dinner
chole rice,lunch
methi malai matar with naan,dinner
dal tadka and roti,dinner
sandwich and juice,breakfast
spring rolls,snacks
oats with milk,breakfast
lemonade,snacks
dal tadka and roti,dinner
dal rice,lunch
cornflakes and milk,breakfast
moong dal dosa,breakfast
kathi roll,dinner
pav bhaji (morning),breakfast
sandwich and juice,breakfast
moong dal dosa,breakfast
chilli potato,snacks
kootu curry,lunch
grilled chicken,dinner
popcorn,snacks
boiled eggs,breakfast
thalipeeth,breakfast
thalipeeth,breakfast
sandwich and juice,breakfast
misal pav,breakfast
grilled chicken,dinner
uttapam,breakfast
kadhi chawal,lunch
sweet lassi,snacks
